commodity,date,price,region,source
abohar(pb),2005-01-01,446.0,india,fao
abohar(pb),2005-02-01,324.0,india,fao
abohar(pb),2005-03-01,322.0,india,fao
abohar(pb),2005-05-01,475.0,india,fao
abohar(pb),2005-06-01,318.0,india,fao
abohar(pb),2005-07-01,348.0,india,fao
abohar(pb),2005-08-01,499.0,india,fao
abohar(pb),2005-09-01,963.0,india,fao
abohar(pb),2005-10-01,1217.0,india,fao
abohar(pb),2005-11-01,700.0,india,fao
abohar(pb),2005-12-01,602.0,india,fao
abohar(pb),2006-01-01,563.0,india,fao
abohar(pb),2006-02-01,380.0,india,fao
abohar(pb),2006-03-01,391.0,india,fao
abohar(pb),2006-04-01,366.0,india,fao
abohar(pb),2006-05-01,390.0,india,fao
abohar(pb),2006-06-01,300.0,india,fao
abohar(pb),2006-09-01,417.0,india,fao
abohar(pb),2007-06-01,700.0,india,fao
abohar(pb),2007-07-01,800.0,india,fao
abohar(pb),2007-08-01,1500.0,india,fao
abohar(pb),2009-10-01,1664.0,india,fao
abohar(pb),2009-11-01,1497.0,india,fao
abohar(pb),2009-12-01,1450.0,india,fao
abohar(pb),2010-01-01,1460.0,india,fao
abohar(pb),2010-02-01,1322.0,india,fao
abohar(pb),2010-03-01,688.0,india,fao
abohar(pb),2010-04-01,611.0,india,fao
abohar(pb),2010-05-01,494.0,india,fao
abohar(pb),2010-06-01,460.0,india,fao
abohar(pb),2010-07-01,617.0,india,fao
abohar(pb),2010-08-01,877.0,india,fao
abohar(pb),2010-09-01,1318.0,india,fao
abohar(pb),2010-10-01,1504.0,india,fao
abohar(pb),2010-11-01,1633.0,india,fao
abohar(pb),2010-12-01,3028.0,india,fao
abohar(pb),2011-01-01,3433.0,india,fao
abohar(pb),2011-02-01,1125.0,india,fao
abohar(pb),2011-03-01,855.0,india,fao
abohar(pb),2011-04-01,553.0,india,fao
abohar(pb),2011-05-01,444.0,india,fao
abohar(pb),2011-06-01,469.0,india,fao
abohar(pb),2011-07-01,780.0,india,fao
abohar(pb),2011-08-01,1050.0,india,fao
abohar(pb),2011-09-01,1225.0,india,fao
abohar(pb),2011-10-01,1119.0,india,fao
abohar(pb),2011-11-01,992.0,india,fao
abohar(pb),2011-12-01,600.0,india,fao
abohar(pb),2012-01-01,605.0,india,fao
abohar(pb),2012-02-01,570.0,india,fao
abohar(pb),2012-03-01,608.0,india,fao
abohar(pb),2012-04-01,573.0,india,fao
abohar(pb),2012-05-01,500.0,india,fao
abohar(pb),2012-06-01,557.0,india,fao
abohar(pb),2012-07-01,693.0,india,fao
abohar(pb),2012-08-01,786.0,india,fao
abohar(pb),2012-09-01,775.0,india,fao
abohar(pb),2012-10-01,925.0,india,fao
abohar(pb),2012-11-01,1150.0,india,fao
abohar(pb),2012-12-01,1270.0,india,fao
abohar(pb),2013-01-01,1605.0,india,fao
abohar(pb),2013-02-01,1629.0,india,fao
abohar(pb),2013-03-01,1080.0,india,fao
abohar(pb),2013-04-01,1035.0,india,fao
abohar(pb),2013-05-01,814.0,india,fao
abohar(pb),2013-06-01,1110.0,india,fao
abohar(pb),2013-07-01,2187.0,india,fao
abohar(pb),2013-08-01,3718.0,india,fao
abohar(pb),2013-09-01,4800.0,india,fao
abohar(pb),2013-10-01,4429.0,india,fao
abohar(pb),2013-11-01,2867.0,india,fao
abohar(pb),2013-12-01,1938.0,india,fao
abohar(pb),2014-01-01,1256.0,india,fao
abohar(pb),2014-02-01,983.0,india,fao
abohar(pb),2014-03-01,994.0,india,fao
abohar(pb),2014-04-01,772.0,india,fao
abohar(pb),2014-05-01,953.0,india,fao
abohar(pb),2014-06-01,942.0,india,fao
abohar(pb),2014-07-01,1883.0,india,fao
abohar(pb),2014-08-01,1923.0,india,fao
abohar(pb),2014-09-01,1884.0,india,fao
abohar(pb),2014-10-01,1914.0,india,fao
abohar(pb),2014-11-01,1781.0,india,fao
abohar(pb),2014-12-01,1659.0,india,fao
abohar(pb),2015-01-01,1613.0,india,fao
abohar(pb),2015-02-01,1688.0,india,fao
abohar(pb),2015-03-01,1745.0,india,fao
abohar(pb),2015-05-01,1310.0,india,fao
abohar(pb),2015-06-01,1457.0,india,fao
abohar(pb),2015-07-01,1517.0,india,fao
agra(up),2005-01-01,377.0,india,fao
agra(up),2005-02-01,345.0,india,fao
agra(up),2005-04-01,360.0,india,fao
agra(up),2005-05-01,338.0,india,fao
agra(up),2005-06-01,340.0,india,fao
agra(up),2005-07-01,350.0,india,fao
agra(up),2005-08-01,501.0,india,fao
agra(up),2005-09-01,894.0,india,fao
agra(up),2005-10-01,1267.0,india,fao
agra(up),2005-11-01,1119.0,india,fao
agra(up),2005-12-01,760.0,india,fao
agra(up),2006-01-01,549.0,india,fao
agra(up),2006-02-01,412.0,india,fao
agra(up),2006-03-01,376.0,india,fao
agra(up),2006-04-01,361.0,india,fao
agra(up),2006-05-01,288.0,india,fao
agra(up),2006-06-01,327.0,india,fao
agra(up),2006-07-01,396.0,india,fao
agra(up),2006-08-01,420.0,india,fao
agra(up),2006-09-01,496.0,india,fao
agra(up),2006-10-01,534.0,india,fao
agra(up),2006-11-01,511.0,india,fao
agra(up),2006-12-01,534.0,india,fao
agra(up),2007-01-01,801.0,india,fao
agra(up),2007-02-01,1051.0,india,fao
agra(up),2007-03-01,1042.0,india,fao
agra(up),2007-04-01,566.0,india,fao
agra(up),2007-05-01,513.0,india,fao
agra(up),2007-06-01,563.0,india,fao
agra(up),2007-07-01,962.0,india,fao
agra(up),2007-08-01,1132.0,india,fao
agra(up),2007-09-01,1384.0,india,fao
agra(up),2007-10-01,1405.0,india,fao
agra(up),2007-11-01,1035.0,india,fao
agra(up),2007-12-01,728.0,india,fao
agra(up),2008-01-01,522.0,india,fao
agra(up),2008-02-01,354.0,india,fao
agra(up),2008-03-01,423.0,india,fao
agra(up),2008-04-01,418.0,india,fao
agra(up),2008-05-01,328.0,india,fao
agra(up),2008-06-01,341.0,india,fao
agra(up),2008-07-01,495.0,india,fao
agra(up),2008-08-01,719.0,india,fao
agra(up),2008-09-01,843.0,india,fao
agra(up),2008-10-01,847.0,india,fao
agra(up),2008-11-01,963.0,india,fao
agra(up),2008-12-01,1089.0,india,fao
agra(up),2009-01-01,1259.0,india,fao
agra(up),2009-02-01,1043.0,india,fao
agra(up),2009-03-01,1096.0,india,fao
agra(up),2009-04-01,747.0,india,fao
agra(up),2009-05-01,680.0,india,fao
agra(up),2009-06-01,609.0,india,fao
agra(up),2009-07-01,679.0,india,fao
agra(up),2009-08-01,783.0,india,fao
agra(up),2009-09-01,851.0,india,fao
agra(up),2009-10-01,1272.0,india,fao
agra(up),2009-11-01,1316.0,india,fao
agra(up),2009-12-01,1242.0,india,fao
agra(up),2010-01-01,1308.0,india,fao
agra(up),2010-02-01,1256.0,india,fao
agra(up),2010-03-01,1205.0,india,fao
agra(up),2010-04-01,779.0,india,fao
agra(up),2010-05-01,661.0,india,fao
agra(up),2010-06-01,680.0,india,fao
agra(up),2010-07-01,846.0,india,fao
agra(up),2010-08-01,891.0,india,fao
agra(up),2010-09-01,1213.0,india,fao
agra(up),2010-10-01,1411.0,india,fao
agra(up),2010-11-01,1616.0,india,fao
agra(up),2010-12-01,2283.0,india,fao
agra(up),2011-01-01,3005.0,india,fao
agra(up),2011-02-01,1371.0,india,fao
agra(up),2011-03-01,877.0,india,fao
agra(up),2011-04-01,673.0,india,fao
agra(up),2011-05-01,615.0,india,fao
agra(up),2011-06-01,562.0,india,fao
agra(up),2011-07-01,808.0,india,fao
agra(up),2011-08-01,1003.0,india,fao
agra(up),2011-09-01,1331.0,india,fao
agra(up),2011-10-01,1381.0,india,fao
agra(up),2011-11-01,1042.0,india,fao
agra(up),2011-12-01,788.0,india,fao
agra(up),2012-01-01,715.0,india,fao
agra(up),2012-02-01,653.0,india,fao
agra(up),2012-03-01,658.0,india,fao
agra(up),2012-04-01,650.0,india,fao
agra(up),2012-05-01,608.0,india,fao
agra(up),2012-06-01,583.0,india,fao
agra(up),2012-07-01,716.0,india,fao
agra(up),2012-08-01,775.0,india,fao
agra(up),2012-09-01,766.0,india,fao
agra(up),2012-10-01,827.0,india,fao
agra(up),2012-11-01,1085.0,india,fao
agra(up),2012-12-01,1274.0,india,fao
agra(up),2013-01-01,1292.0,india,fao
agra(up),2013-02-01,1746.0,india,fao
agra(up),2013-03-01,1305.0,india,fao
agra(up),2013-04-01,1176.0,india,fao
agra(up),2013-05-01,1055.0,india,fao
agra(up),2013-06-01,1047.0,india,fao
agra(up),2013-07-01,1652.0,india,fao
agra(up),2013-08-01,3365.0,india,fao
agra(up),2013-09-01,4225.0,india,fao
agra(up),2013-10-01,4280.0,india,fao
agra(up),2013-11-01,3631.0,india,fao
agra(up),2013-12-01,1878.0,india,fao
agra(up),2014-01-01,1200.0,india,fao
agra(up),2014-02-01,1177.0,india,fao
agra(up),2014-03-01,1146.0,india,fao
agra(up),2014-04-01,1147.0,india,fao
agra(up),2014-05-01,1156.0,india,fao
agra(up),2014-06-01,1172.0,india,fao
agra(up),2014-07-01,1846.0,india,fao
agra(up),2014-08-01,1802.0,india,fao
agra(up),2014-09-01,1675.0,india,fao
agra(up),2014-10-01,1775.0,india,fao
agra(up),2014-11-01,1675.0,india,fao
agra(up),2014-12-01,1623.0,india,fao
agra(up),2015-01-01,1693.0,india,fao
agra(up),2015-02-01,1583.0,india,fao
agra(up),2015-03-01,1750.0,india,fao
agra(up),2015-04-01,1506.0,india,fao
agra(up),2015-05-01,1346.0,india,fao
agra(up),2015-06-01,1623.0,india,fao
agra(up),2015-07-01,2275.0,india,fao
agra(up),2015-08-01,3283.0,india,fao
agra(up),2015-09-01,4318.0,india,fao
agra(up),2015-10-01,3642.0,india,fao
agra(up),2015-11-01,2832.0,india,fao
agra(up),2015-12-01,1857.0,india,fao
agra(up),2016-01-01,1349.0,india,fao
agra(up),2016-02-01,1156.0,india,fao
ahmedabad(guj),2005-01-01,332.0,india,fao
ahmedabad(guj),2005-02-01,281.0,india,fao
ahmedabad(guj),2005-03-01,289.0,india,fao
ahmedabad(guj),2005-04-01,301.0,india,fao
ahmedabad(guj),2005-05-01,281.0,india,fao
ahmedabad(guj),2005-06-01,289.0,india,fao
ahmedabad(guj),2005-07-01,400.0,india,fao
ahmedabad(guj),2005-08-01,538.0,india,fao
ahmedabad(guj),2005-09-01,888.0,india,fao
ahmedabad(guj),2005-10-01,1238.0,india,fao
ahmedabad(guj),2005-11-01,963.0,india,fao
ahmedabad(guj),2005-12-01,664.0,india,fao
ahmedabad(guj),2006-01-01,386.0,india,fao
ahmedabad(guj),2006-02-01,253.0,india,fao
ahmedabad(guj),2006-03-01,243.0,india,fao
ahmedabad(guj),2006-04-01,244.0,india,fao
ahmedabad(guj),2006-05-01,215.0,india,fao
ahmedabad(guj),2006-06-01,297.0,india,fao
ahmedabad(guj),2006-07-01,325.0,india,fao
ahmedabad(guj),2006-09-01,350.0,india,fao
ahmedabad(guj),2006-11-01,517.0,india,fao
ahmedabad(guj),2006-12-01,788.0,india,fao
ahmedabad(guj),2007-03-01,750.0,india,fao
ahmedabad(guj),2007-07-01,850.0,india,fao
ahmedabad(guj),2007-08-01,900.0,india,fao
ahmedabad(guj),2007-11-01,900.0,india,fao
ahmedabad(guj),2007-12-01,575.0,india,fao
ahmedabad(guj),2008-01-01,415.0,india,fao
ahmedabad(guj),2008-02-01,375.0,india,fao
ahmedabad(guj),2008-03-01,417.0,india,fao
ahmedabad(guj),2008-04-01,343.0,india,fao
ahmedabad(guj),2008-05-01,268.0,india,fao
ahmedabad(guj),2008-06-01,370.0,india,fao
ahmedabad(guj),2008-07-01,558.0,india,fao
ahmedabad(guj),2008-08-01,663.0,india,fao
ahmedabad(guj),2008-09-01,611.0,india,fao
ahmedabad(guj),2008-10-01,675.0,india,fao
ahmedabad(guj),2008-11-01,950.0,india,fao
ahmedabad(guj),2008-12-01,1121.0,india,fao
ahmedabad(guj),2009-01-01,1250.0,india,fao
ahmedabad(guj),2009-02-01,1060.0,india,fao
ahmedabad(guj),2009-03-01,836.0,india,fao
ahmedabad(guj),2009-04-01,577.0,india,fao
ahmedabad(guj),2009-05-01,506.0,india,fao
ahmedabad(guj),2009-06-01,700.0,india,fao
ahmedabad(guj),2009-07-01,625.0,india,fao
ahmedabad(guj),2009-08-01,674.0,india,fao
ahmedabad(guj),2009-09-01,654.0,india,fao
ahmedabad(guj),2009-10-01,1263.0,india,fao
ahmedabad(guj),2009-11-01,1391.0,india,fao
ahmedabad(guj),2009-12-01,1314.0,india,fao
ahmedabad(guj),2010-01-01,1202.0,india,fao
ahmedabad(guj),2010-02-01,1060.0,india,fao
ahmedabad(guj),2010-03-01,730.0,india,fao
ahmedabad(guj),2010-04-01,545.0,india,fao
ahmedabad(guj),2010-05-01,518.0,india,fao
ahmedabad(guj),2010-06-01,630.0,india,fao
ahmedabad(guj),2010-07-01,750.0,india,fao
ahmedabad(guj),2010-08-01,886.0,india,fao
ahmedabad(guj),2010-09-01,1299.0,india,fao
ahmedabad(guj),2010-10-01,1533.0,india,fao
ahmedabad(guj),2010-11-01,1783.0,india,fao
ahmedabad(guj),2010-12-01,2603.0,india,fao
ahmedabad(guj),2011-01-01,2550.0,india,fao
ahmedabad(guj),2011-02-01,974.0,india,fao
ahmedabad(guj),2011-03-01,549.0,india,fao
ahmedabad(guj),2011-04-01,479.0,india,fao
ahmedabad(guj),2011-05-01,470.0,india,fao
ahmedabad(guj),2011-06-01,568.0,india,fao
ahmedabad(guj),2011-07-01,761.0,india,fao
ahmedabad(guj),2011-08-01,950.0,india,fao
ahmedabad(guj),2011-09-01,1038.0,india,fao
ahmedabad(guj),2011-10-01,873.0,india,fao
ahmedabad(guj),2011-11-01,901.0,india,fao
ahmedabad(guj),2011-12-01,742.0,india,fao
ahmedabad(guj),2012-01-01,520.0,india,fao
ahmedabad(guj),2012-02-01,405.0,india,fao
ahmedabad(guj),2012-03-01,495.0,india,fao
ahmedabad(guj),2012-04-01,516.0,india,fao
ahmedabad(guj),2012-05-01,456.0,india,fao
ahmedabad(guj),2012-06-01,525.0,india,fao
ahmedabad(guj),2012-07-01,600.0,india,fao
ahmedabad(guj),2012-08-01,726.0,india,fao
ahmedabad(guj),2012-09-01,659.0,india,fao
ahmedabad(guj),2012-10-01,857.0,india,fao
ahmedabad(guj),2012-11-01,1171.0,india,fao
ahmedabad(guj),2012-12-01,1313.0,india,fao
ahmedabad(guj),2013-01-01,1490.0,india,fao
ahmedabad(guj),2013-02-01,1541.0,india,fao
ahmedabad(guj),2013-03-01,1127.0,india,fao
ahmedabad(guj),2013-04-01,893.0,india,fao
ahmedabad(guj),2013-05-01,840.0,india,fao
ahmedabad(guj),2013-06-01,1350.0,india,fao
ahmedabad(guj),2013-07-01,2128.0,india,fao
ahmedabad(guj),2013-08-01,3808.0,india,fao
ahmedabad(guj),2013-09-01,4494.0,india,fao
ahmedabad(guj),2013-10-01,3640.0,india,fao
ahmedabad(guj),2013-11-01,3451.0,india,fao
ahmedabad(guj),2013-12-01,1686.0,india,fao
ahmedabad(guj),2014-01-01,1233.0,india,fao
ahmedabad(guj),2014-02-01,833.0,india,fao
ahmedabad(guj),2014-03-01,888.0,india,fao
ahmedabad(guj),2014-04-01,841.0,india,fao
ahmedabad(guj),2014-05-01,925.0,india,fao
ahmedabad(guj),2014-06-01,1202.0,india,fao
ahmedabad(guj),2014-07-01,1780.0,india,fao
ahmedabad(guj),2014-08-01,1538.0,india,fao
ahmedabad(guj),2014-09-01,1422.0,india,fao
ahmedabad(guj),2014-10-01,1444.0,india,fao
ahmedabad(guj),2014-11-01,1217.0,india,fao
ahmedabad(guj),2014-12-01,1733.0,india,fao
ahmedabad(guj),2015-01-01,1158.0,india,fao
ahmedabad(guj),2015-02-01,1630.0,india,fao
ahmedabad(guj),2015-03-01,1303.0,india,fao
ahmedabad(guj),2015-04-01,1135.0,india,fao
ahmedabad(guj),2015-05-01,1178.0,india,fao
ahmedabad(guj),2015-06-01,1630.0,india,fao
ahmedabad(guj),2015-07-01,2004.0,india,fao
ahmedabad(guj),2015-08-01,3723.0,india,fao
ahmedabad(guj),2015-09-01,3840.0,india,fao
ahmedabad(guj),2015-10-01,2594.0,india,fao
ahmedabad(guj),2015-11-01,1850.0,india,fao
ahmedabad(guj),2015-12-01,1364.0,india,fao
ahmedabad(guj),2016-01-01,997.0,india,fao
ahmedabad(guj),2016-02-01,830.0,india,fao
ahmednagar(ms),2001-09-01,346.0,india,fao
ahmednagar(ms),2001-10-01,367.0,india,fao
ahmednagar(ms),2001-11-01,488.0,india,fao
ahmednagar(ms),2001-12-01,348.0,india,fao
ahmednagar(ms),2002-01-01,212.0,india,fao
ahmednagar(ms),2002-02-01,164.0,india,fao
ahmednagar(ms),2002-04-01,154.0,india,fao
ahmednagar(ms),2002-05-01,158.0,india,fao
ahmednagar(ms),2002-06-01,260.0,india,fao
ahmednagar(ms),2002-07-01,323.0,india,fao
ahmednagar(ms),2002-08-01,389.0,india,fao
ahmednagar(ms),2002-09-01,401.0,india,fao
ahmednagar(ms),2002-10-01,424.0,india,fao
ahmednagar(ms),2003-02-01,175.0,india,fao
ahmednagar(ms),2003-03-01,185.0,india,fao
ahmednagar(ms),2003-04-01,232.0,india,fao
ahmednagar(ms),2003-05-01,260.0,india,fao
ahmednagar(ms),2003-06-01,325.0,india,fao
ahmednagar(ms),2003-07-01,325.0,india,fao
ahmednagar(ms),2003-08-01,357.0,india,fao
ahmednagar(ms),2003-09-01,387.0,india,fao
ahmednagar(ms),2003-10-01,590.0,india,fao
ahmednagar(ms),2003-11-01,531.0,india,fao
ahmednagar(ms),2003-12-01,593.0,india,fao
ahmednagar(ms),2004-01-01,618.0,india,fao
ahmednagar(ms),2004-02-01,470.0,india,fao
ahmednagar(ms),2004-03-01,333.0,india,fao
ahmednagar(ms),2004-04-01,253.0,india,fao
ahmednagar(ms),2004-05-01,263.0,india,fao
ahmednagar(ms),2004-06-01,290.0,india,fao
ahmednagar(ms),2004-07-01,273.0,india,fao
ahmednagar(ms),2004-08-01,301.0,india,fao
ahmednagar(ms),2004-09-01,292.0,india,fao
ahmednagar(ms),2004-10-01,400.0,india,fao
ahmednagar(ms),2004-11-01,295.0,india,fao
ahmednagar(ms),2004-12-01,281.0,india,fao
ahmednagar(ms),2005-01-01,266.0,india,fao
ahmednagar(ms),2005-02-01,194.0,india,fao
ahmednagar(ms),2005-03-01,208.0,india,fao
ahmednagar(ms),2005-04-01,207.0,india,fao
ahmednagar(ms),2005-05-01,223.0,india,fao
ahmednagar(ms),2005-06-01,306.0,india,fao
ahmednagar(ms),2005-07-01,338.0,india,fao
ahmednagar(ms),2005-08-01,592.0,india,fao
ahmednagar(ms),2005-09-01,723.0,india,fao
ahmednagar(ms),2005-10-01,909.0,india,fao
ahmednagar(ms),2005-11-01,902.0,india,fao
ahmednagar(ms),2005-12-01,399.0,india,fao
ahmednagar(ms),2006-01-01,261.0,india,fao
ahmednagar(ms),2006-02-01,193.0,india,fao
ahmednagar(ms),2006-03-01,188.0,india,fao
ahmednagar(ms),2006-06-01,165.0,india,fao
ahmednagar(ms),2006-07-01,225.0,india,fao
ahmednagar(ms),2006-09-01,285.0,india,fao
ahmednagar(ms),2006-11-01,382.0,india,fao
ahmednagar(ms),2006-12-01,582.0,india,fao
ahmednagar(ms),2007-01-01,795.0,india,fao
ahmednagar(ms),2007-02-01,759.0,india,fao
ahmednagar(ms),2007-03-01,495.0,india,fao
ahmednagar(ms),2007-04-01,450.0,india,fao
ahmednagar(ms),2007-05-01,368.0,india,fao
ahmednagar(ms),2007-06-01,597.0,india,fao
ahmednagar(ms),2007-07-01,599.0,india,fao
ahmednagar(ms),2007-08-01,845.0,india,fao
ahmednagar(ms),2007-09-01,1016.0,india,fao
ahmednagar(ms),2007-10-01,889.0,india,fao
ahmednagar(ms),2007-11-01,616.0,india,fao
ahmednagar(ms),2007-12-01,483.0,india,fao
ahmednagar(ms),2008-01-01,428.0,india,fao
ahmednagar(ms),2008-02-01,289.0,india,fao
ahmednagar(ms),2008-03-01,268.0,india,fao
ahmednagar(ms),2008-04-01,250.0,india,fao
ahmednagar(ms),2008-05-01,205.0,india,fao
ahmednagar(ms),2008-09-01,495.0,india,fao
ahmednagar(ms),2008-10-01,550.0,india,fao
ahmednagar(ms),2008-11-01,1033.0,india,fao
ahmednagar(ms),2008-12-01,923.0,india,fao
ahmednagar(ms),2009-01-01,1117.0,india,fao
ahmednagar(ms),2009-02-01,767.0,india,fao
ahmednagar(ms),2009-03-01,534.0,india,fao
ahmednagar(ms),2009-04-01,410.0,india,fao
ahmednagar(ms),2009-05-01,400.0,india,fao
ahmednagar(ms),2009-06-01,533.0,india,fao
ahmednagar(ms),2009-07-01,534.0,india,fao
ahmednagar(ms),2009-08-01,528.0,india,fao
ahmednagar(ms),2009-09-01,566.0,india,fao
ahmednagar(ms),2009-10-01,1159.0,india,fao
ahmednagar(ms),2009-11-01,1246.0,india,fao
ahmednagar(ms),2009-12-01,1587.0,india,fao
ahmednagar(ms),2010-01-01,1093.0,india,fao
ahmednagar(ms),2010-02-01,813.0,india,fao
ahmednagar(ms),2010-03-01,508.0,india,fao
ahmednagar(ms),2010-04-01,408.0,india,fao
ahmednagar(ms),2010-05-01,424.0,india,fao
ahmednagar(ms),2010-06-01,550.0,india,fao
ahmednagar(ms),2010-07-01,573.0,india,fao
ahmednagar(ms),2010-08-01,711.0,india,fao
ahmednagar(ms),2010-09-01,1396.0,india,fao
ahmednagar(ms),2010-10-01,1271.0,india,fao
ahmednagar(ms),2010-11-01,1813.0,india,fao
ahmednagar(ms),2010-12-01,3363.0,india,fao
ahmednagar(ms),2011-01-01,3500.0,india,fao
ahmednagar(ms),2011-03-01,440.0,india,fao
ahmednagar(ms),2011-04-01,425.0,india,fao
ahmednagar(ms),2011-12-01,425.0,india,fao
ahmednagar(ms),2012-01-01,325.0,india,fao
ahmednagar(ms),2012-06-01,375.0,india,fao
ahmednagar(ms),2012-10-01,730.0,india,fao
ahmednagar(ms),2012-11-01,993.0,india,fao
ahmednagar(ms),2012-12-01,900.0,india,fao
ahmednagar(ms),2013-02-01,1600.0,india,fao
ahmednagar(ms),2013-06-01,1100.0,india,fao
ahmednagar(ms),2013-07-01,1495.0,india,fao
ahmednagar(ms),2013-08-01,3290.0,india,fao
ahmednagar(ms),2013-09-01,2542.0,india,fao
ahmednagar(ms),2013-10-01,2904.0,india,fao
ahmednagar(ms),2013-11-01,2198.0,india,fao
ahmednagar(ms),2013-12-01,1043.0,india,fao
ahmednagar(ms),2014-01-01,696.0,india,fao
ahmednagar(ms),2014-02-01,486.0,india,fao
ahmednagar(ms),2014-03-01,598.0,india,fao
ahmednagar(ms),2014-04-01,674.0,india,fao
ahmednagar(ms),2014-05-01,731.0,india,fao
ahmednagar(ms),2014-06-01,1325.0,india,fao
ahmednagar(ms),2014-07-01,1453.0,india,fao
ahmednagar(ms),2014-08-01,1313.0,india,fao
ahmednagar(ms),2014-09-01,1215.0,india,fao
ahmednagar(ms),2014-10-01,1250.0,india,fao
ahmednagar(ms),2014-11-01,1146.0,india,fao
ahmednagar(ms),2014-12-01,1175.0,india,fao
ahmednagar(ms),2015-01-01,999.0,india,fao
ahmednagar(ms),2015-02-01,989.0,india,fao
ahmednagar(ms),2015-03-01,821.0,india,fao
ahmednagar(ms),2015-04-01,805.0,india,fao
ahmednagar(ms),2015-05-01,1008.0,india,fao
ahmednagar(ms),2015-06-01,1450.0,india,fao
ahmednagar(ms),2015-07-01,1525.0,india,fao
ahmednagar(ms),2015-08-01,4383.0,india,fao
ahmednagar(ms),2015-09-01,4617.0,india,fao
ahmednagar(ms),2015-10-01,3060.0,india,fao
ahmednagar(ms),2015-11-01,2200.0,india,fao
ahmednagar(ms),2015-12-01,1389.0,india,fao
ahmednagar(ms),2016-01-01,1138.0,india,fao
ahmednagar(ms),2016-02-01,800.0,india,fao
ajmer(raj),2014-11-01,1186.0,india,fao
ajmer(raj),2014-12-01,1657.0,india,fao
ajmer(raj),2015-01-01,1367.0,india,fao
ajmer(raj),2015-02-01,1500.0,india,fao
ajmer(raj),2015-03-01,1480.0,india,fao
ajmer(raj),2015-04-01,1100.0,india,fao
ajmer(raj),2015-06-01,1513.0,india,fao
ajmer(raj),2015-07-01,1504.0,india,fao
ajmer(raj),2015-08-01,2658.0,india,fao
ajmer(raj),2015-09-01,4411.0,india,fao
ajmer(raj),2015-10-01,3155.0,india,fao
ajmer(raj),2015-11-01,2072.0,india,fao
ajmer(raj),2015-12-01,1034.0,india,fao
ajmer(raj),2016-01-01,939.0,india,fao
ajmer(raj),2016-02-01,978.0,india,fao
aligarh(up),2014-11-01,1706.0,india,fao
aligarh(up),2014-12-01,1650.0,india,fao
aligarh(up),2015-01-01,1717.0,india,fao
aligarh(up),2015-02-01,1632.0,india,fao
aligarh(up),2015-03-01,1685.0,india,fao
aligarh(up),2015-04-01,1442.0,india,fao
aligarh(up),2015-05-01,1346.0,india,fao
aligarh(up),2015-06-01,1634.0,india,fao
aligarh(up),2015-07-01,1979.0,india,fao
aligarh(up),2015-08-01,3303.0,india,fao
aligarh(up),2015-09-01,4413.0,india,fao
aligarh(up),2015-10-01,3570.0,india,fao
aligarh(up),2015-11-01,2503.0,india,fao
aligarh(up),2015-12-01,1483.0,india,fao
aligarh(up),2016-01-01,1257.0,india,fao
aligarh(up),2016-02-01,1086.0,india,fao
alwar(raj),2010-01-01,941.0,india,fao
alwar(raj),2010-02-01,848.0,india,fao
alwar(raj),2010-03-01,1100.0,india,fao
alwar(raj),2010-04-01,645.0,india,fao
alwar(raj),2010-05-01,455.0,india,fao
alwar(raj),2010-06-01,558.0,india,fao
alwar(raj),2010-07-01,635.0,india,fao
alwar(raj),2010-08-01,795.0,india,fao
alwar(raj),2010-09-01,1198.0,india,fao
alwar(raj),2010-10-01,1118.0,india,fao
alwar(raj),2010-11-01,1448.0,india,fao
alwar(raj),2010-12-01,1576.0,india,fao
alwar(raj),2011-01-01,1572.0,india,fao
alwar(raj),2011-02-01,458.0,india,fao
alwar(raj),2011-04-01,615.0,india,fao
alwar(raj),2011-05-01,513.0,india,fao
alwar(raj),2011-06-01,570.0,india,fao
alwar(raj),2011-07-01,670.0,india,fao
alwar(raj),2011-08-01,783.0,india,fao
alwar(raj),2011-09-01,1294.0,india,fao
alwar(raj),2011-10-01,1150.0,india,fao
alwar(raj),2011-11-01,649.0,india,fao
alwar(raj),2011-12-01,423.0,india,fao
alwar(raj),2012-01-01,247.0,india,fao
alwar(raj),2012-02-01,263.0,india,fao
alwar(raj),2012-03-01,650.0,india,fao
alwar(raj),2012-04-01,665.0,india,fao
alwar(raj),2012-05-01,552.0,india,fao
alwar(raj),2012-06-01,592.0,india,fao
alwar(raj),2012-07-01,707.0,india,fao
alwar(raj),2012-08-01,665.0,india,fao
alwar(raj),2012-09-01,690.0,india,fao
alwar(raj),2012-11-01,807.0,india,fao
alwar(raj),2012-12-01,931.0,india,fao
alwar(raj),2013-01-01,977.0,india,fao
alwar(raj),2013-02-01,1050.0,india,fao
alwar(raj),2013-07-01,1563.0,india,fao
alwar(raj),2013-08-01,3248.0,india,fao
alwar(raj),2013-09-01,3279.0,india,fao
alwar(raj),2013-10-01,3660.0,india,fao
alwar(raj),2013-11-01,2721.0,india,fao
alwar(raj),2013-12-01,1209.0,india,fao
alwar(raj),2014-01-01,806.0,india,fao
alwar(raj),2014-02-01,633.0,india,fao
alwar(raj),2014-08-01,1680.0,india,fao
alwar(raj),2014-09-01,1767.0,india,fao
alwar(raj),2014-10-01,1414.0,india,fao
alwar(raj),2014-11-01,1215.0,india,fao
alwar(raj),2014-12-01,1333.0,india,fao
alwar(raj),2015-01-01,867.0,india,fao
